Assists,Bonus,Clean_Sheets,Goals,Minutes,Name,Points,Pos,Reds_Cards,Saves,Season,Team,Yellow_Cards
5,9,9,5,2623,Aaron Ramsey,119,MID,0,0,2015-16,ARS,4
2,2,2,2,628,Alex Iwobi,42,MID,0,0,2015-16,ARS,0
1,0,0,1,928,Alex Oxlade-Chamberlain,44,MID,0,0,2015-16,ARS,0
5,17,17,13,2436,Alexis S√°nchez,167,MID,0,0,2015-16,ARS,1
1,1,1,0,322,Calum Chambers,23,DEF,0,0,2015-16,ARS,2
3,7,7,4,575,Danny Welbeck,48,FWD,0,0,2015-16,ARS,1
0,2,2,0,360,David Ospina,20,GK,0,17,2015-16,ARS,0
0,2,2,0,1643,Francis Coquelin,46,MID,1,0,2015-16,ARS,5
0,9,9,1,1764,Gabriel Armando de Abreu,83,DEF,1,0,2015-16,ARS,3
6,18,18,1,3240,H√©ctor Beller√≠n,172,DEF,0,0,2015-16,ARS,3
0,0,0,0,142,Jack Wilshere,6,MID,0,0,2015-16,ARS,0
2,7,7,3,884,Joel Campbell,54,MID,0,0,2015-16,ARS,0
0,0,0,1,391,Kieran Gibbs,26,DEF,0,0,2015-16,ARS,0
0,18,18,4,2845,Laurent Koscielny,153,DEF,0,0,2015-16,ARS,3
0,0,0,0,142,Mathieu Debuchy,3,DEF,0,0,2015-16,ARS,0
0,0,0,0,1089,Mathieu Flamini,29,MID,0,0,2015-16,ARS,3
19,30,30,6,3036,Mesut √ñzil,200,MID,0,0,2015-16,ARS,4
1,0,0,0,169,Mikel Arteta,10,MID,0,0,2015-16,ARS,1
1,0,0,0,792,Mohamed Elneny,25,MID,0,0,2015-16,ARS,3
3,14,14,0,3249,Nacho Monreal,152,DEF,0,0,2015-16,ARS,1
6,15,15,16,2430,Olivier Giroud,156,FWD,0,0,2015-16,ARS,2
0,1,1,0,2047,Per Mertesacker,71,DEF,1,0,2015-16,ARS,1
0,15,15,0,3060,Petr Cech,159,GK,0,101,2015-16,ARS,0
3,6,6,0,1290,Santiago Cazorla,44,MID,1,0,2015-16,ARS,2
3,0,0,5,1373,Theo Walcott,85,MID,0,0,2015-16,ARS,0
4,3,3,1,1236,Aaron Ramsey,56,MID,0,0,2016-17,ARS,3
0,0,0,0,2,Ainsley Maitland-Niles,1,MID,0,0,2016-17,ARS,0
5,8,8,3,1456,Alex Iwobi,89,MID,0,0,2016-17,ARS,1
7,3,3,2,1564,Alex Oxlade-Chamberlain,83,MID,0,0,2016-17,ARS,1
11,32,32,24,3217,Alexis S√°nchez,264,MID,0,0,2016-17,ARS,6
0,0,0,0,82,Carl Jenkinson,2,DEF,0,0,2016-17,ARS,0
0,0,0,0,0,Chuba Akpom,0,FWD,0,0,2016-17,ARS,0
0,0,0,0,180,Damian Emiliano Martinez,8,GK,0,5,2016-17,ARS,0
2,0,0,2,748,Danny Welbeck,37,FWD,0,0,2016-17,ARS,0
0,0,0,0,143,David Ospina,2,GK,0,4,2016-17,ARS,0
1,1,1,0,1779,Francis Coquelin,52,MID,0,0,2016-17,ARS,5
0,2,2,0,1517,Gabriel Armando de Abreu,45,DEF,0,0,2016-17,ARS,6
3,7,7,2,2483,Granit Xhaka,85,MID,2,0,2016-17,ARS,5
5,12,12,1,2503,H√©ctor Beller√≠n,119,DEF,0,0,2016-17,ARS,4
0,0,0,0,0,Jeff Reine-Adelaide,0,MID,0,0,2016-17,ARS,0
0,0,0,0,0,Joel Campbell,0,MID,0,0,2016-17,ARS,0
1,3,3,0,702,Kieran Gibbs,45,DEF,0,0,2016-17,ARS,3
1,19,19,2,2821,Laurent Koscielny,121,DEF,1,0,2016-17,ARS,4
1,0,0,1,272,Lucas P√©rez,20,FWD,0,0,2016-17,ARS,0
0,0,0,0,15,Mathieu Debuchy,1,DEF,0,0,2016-17,ARS,0
0,0,0,0,0,Matt Macey,0,GK,0,0,2016-17,ARS,0
11,19,19,8,2841,Mesut √ñzil,167,MID,0,0,2016-17,ARS,2
1,0,0,0,694,Mohamed Elneny,26,MID,0,0,2016-17,ARS,1
3,9,9,0,3153,Nacho Monreal,115,DEF,0,0,2016-17,ARS,5
5,17,17,12,1206,Olivier Giroud,116,FWD,0,0,2016-17,ARS,2
0,0,0,0,38,Per Mertesacker,1,DEF,0,0,2016-17,ARS,0
0,2,2,0,3097,Petr Cech,134,GK,0,115,2016-17,ARS,2
0,3,3,0,810,Rob Holding,32,DEF,0,0,2016-17,ARS,3
2,5,5,2,618,Santiago Cazorla,38,MID,0,0,2016-17,ARS,2
0,0,0,0,0,Serge Gnabry,0,MID,0,0,2016-17,ARS,0
2,8,8,2,2274,Shkodran Mustafi,90,DEF,0,0,2016-17,ARS,11
0,0,0,0,0,Takuma Asano,0,FWD,0,0,2016-17,ARS,0
3,7,7,10,1916,Theo Walcott,122,MID,0,0,2016-17,ARS,1
0,0,0,0,0,Yaya Sanogo,0,FWD,0,0,2016-17,ARS,0
0,0,0,0,1498,Wojciech Szczesny,47,GK,0,44,2014-15,ARS,1
0,15,15,3,2287,Laurent Koscielny,120,DEF,0,0,2014-15,ARS,4
0,0,0,0,0,Thomas Vermaelen,0,DEF,0,0,2014-15,ARS,0
5,9,9,0,1660,Kieran Gibbs,76,DEF,0,0,2014-15,ARS,3
1,12,12,0,3150,Per Mertesacker,121,DEF,0,0,2014-15,ARS,2
2,6,6,0,2311,Nacho Monreal,92,DEF,0,0,2014-15,ARS,3
0,0,0,0,0,Isaac Hayden,0,DEF,0,0,2014-15,ARS,0
1,5,5,2,1563,Hector Bellerin,77,DEF,0,0,2014-15,ARS,5
1,4,4,2,729,Jack Wilshere,36,MD,0,0,2014-15,ARS,4
1,3,3,5,447,Theo Walcott,51,MD,0,0,2014-15,ARS,0
6,13,13,6,2007,Aaron Ramsey,116,MD,0,0,2014-15,ARS,6
1,3,3,2,583,Tomas Rosicky,36,MD,0,0,2014-15,ARS,1
1,2,2,0,447,Mikel Arteta,19,MD,0,0,2014-15,ARS,1
2,3,3,1,1491,Alex Oxlade-Chamberlain,57,MD,0,0,2014-15,ARS,4
11,23,23,7,2990,Santiago Cazorla,168,MD,0,0,2014-15,ARS,5
0,0,0,0,0,Vassiriki Diaby,0,MD,0,0,2014-15,ARS,0
0,0,0,0,0,Serge Gnabry,0,MD,0,0,2014-15,ARS,0
0,0,0,0,0,Gedion Zelalem,0,MD,0,0,2014-15,ARS,0
2,0,0,1,1461,Mathieu Flamini,51,MD,0,0,2014-15,ARS,3
6,13,13,4,1857,Mesut …zil,103,MD,0,0,2014-15,ARS,0
0,0,0,0,0,Ryo Miyaichi,0,MD,0,0,2014-15,ARS,0
8,29,29,16,2944,Alexis S‡nchez,207,MD,0,0,2014-15,ARS,4
0,0,0,0,106,Lukas Podolski,7,FWD,0,0,2014-15,ARS,0
3,16,16,14,1861,Olivier Giroud,120,FWD,1,0,2014-15,ARS,5
1,0,0,0,30,Chuba Akpom,6,FWD,0,0,2014-15,ARS,0
0,0,0,0,41,Joel Campbell,4,FWD,0,0,2014-15,ARS,0
7,10,10,4,1709,Danny Welbeck,89,FWD,0,0,2014-15,ARS,3
1,0,0,1,805,Mathieu Debuchy,23,DEF,0,0,2014-15,ARS,2
1,8,8,1,1572,Calum Chambers,68,DEF,1,0,2014-15,ARS,7
0,0,0,0,1620,David Ospina,76,GK,0,47,2014-15,ARS,0
0,1,1,0,1661,Francis Coquelin,45,MD,0,0,2014-15,ARS,5
0,0,0,0,302,Damian Emiliano Martinez,14,GK,0,4,2014-15,ARS,0
0,0,0,0,0,Semi Ajayi,0,DEF,0,0,2014-15,ARS,0
0,0,0,0,0,Ryan Huddart,0,GK,0,0,2014-15,ARS,0
0,0,0,0,0,Matthew Macey,0,GK,0,0,2014-15,ARS,0
0,0,0,0,1,Ainsley Maitland-Niles,1,MD,0,0,2014-15,ARS,0
1,0,0,0,350,Gabriel Armando de Abreu,16,DEF,0,0,2014-15,ARS,0
0,0,0,0,0,Krystian Bielik,0,MD,0,0,2014-15,ARS,0
